,index,date,close,high,low,open,candle_size
123755,123755,2022-02-04 09:30:00+05:30,17568.4,17595.25,17566.4,17575.55,-7.149999999997817
123756,123756,2022-02-04 09:35:00+05:30,17575.6,17577.6,17544.65,17567.35,8.25
123757,123757,2022-02-04 09:40:00+05:30,17579.0,17586.3,17564.9,17575.05,3.9500000000007276
123758,123758,2022-02-04 09:45:00+05:30,17600.65,17603.55,17564.35,17578.65,22.0
123759,123759,2022-02-04 09:50:00+05:30,17616.45,17617.3,17592.0,17602.75,13.700000000000728
123789,123789,2022-02-04 12:20:00+05:30,17490.9,17492.6,17470.2,17491.2,-0.2999999999992724
123790,123790,2022-02-04 12:25:00+05:30,17509.0,17513.65,17490.55,17490.55,18.450000000000728
123791,123791,2022-02-04 12:30:00+05:30,17522.25,17522.8,17505.35,17508.95,13.299999999999272
123792,123792,2022-02-04 12:35:00+05:30,17531.0,17536.85,17518.15,17522.1,8.900000000001455
123793,123793,2022-02-04 12:40:00+05:30,17522.45,17535.85,17522.1,17533.5,-11.049999999999272
123857,123857,2022-02-07 11:45:00+05:30,17305.5,17319.9,17305.15,17319.15,-13.650000000001455
123858,123858,2022-02-07 11:50:00+05:30,17330.25,17330.4,17297.65,17304.55,25.700000000000728
123859,123859,2022-02-07 11:55:00+05:30,17317.1,17334.5,17314.65,17330.35,-13.25
123860,123860,2022-02-07 12:00:00+05:30,17288.95,17326.5,17287.7,17316.8,-27.849999999998545
123861,123861,2022-02-07 12:05:00+05:30,17270.8,17295.6,17267.6,17290.0,-19.200000000000728
123864,123864,2022-02-07 12:20:00+05:30,17286.9,17292.25,17275.5,17288.15,-1.25
123865,123865,2022-02-07 12:25:00+05:30,17314.35,17314.95,17284.8,17286.5,27.849999999998545
123866,123866,2022-02-07 12:30:00+05:30,17314.7,17319.65,17306.7,17315.85,-1.1499999999978172
123867,123867,2022-02-07 12:35:00+05:30,17305.9,17317.25,17291.15,17314.4,-8.5
123868,123868,2022-02-07 12:40:00+05:30,17326.7,17329.2,17303.1,17306.75,19.950000000000728
123874,123874,2022-02-07 13:10:00+05:30,17263.65,17280.8,17260.05,17266.85,-3.1999999999970896
123875,123875,2022-02-07 13:15:00+05:30,17268.65,17279.85,17251.4,17260.5,8.150000000001455
123876,123876,2022-02-07 13:20:00+05:30,17266.4,17275.7,17263.45,17272.15,-5.75
123877,123877,2022-02-07 13:25:00+05:30,17255.75,17265.85,17248.8,17265.85,-10.099999999998545
123878,123878,2022-02-07 13:30:00+05:30,17233.1,17259.25,17229.65,17255.55,-22.450000000000728
123924,123924,2022-02-08 11:05:00+05:30,17048.85,17075.0,17047.55,17061.6,-12.75
123925,123925,2022-02-08 11:10:00+05:30,17085.3,17085.8,17047.75,17048.55,36.75
123926,123926,2022-02-08 11:15:00+05:30,17108.95,17111.3,17074.55,17085.7,23.25
