Percent Change,Percent Change1,date
-0.000812185,-0.0812185,20-02-2015 09:50
-0.000641928,-0.0641928,20-02-2015 09:50
-0.00195336,-0.195336,20-02-2015 07:50
-0.001068106,-0.1068106,20-02-2015 08:25
-0.000589493,-0.0589493,20-02-2015 08:25
-0.000372472,-0.0372472,23-02-2015 04:10
-0.000829623,-0.0829623,23-02-2015 04:10
0.000368993,0.0368993,23-02-2015 04:30
0.003118987,0.3118987,23-02-2015 04:30
0.002476001,0.2476001,23-02-2015 05:05
0.001950947,0.1950947,23-02-2015 08:20
-0.000638861,-0.0638861,23-02-2015 07:00
-0.00141976,-0.141976,23-02-2015 07:00
-0.000575577,-0.0575577,23-02-2015 08:00
-0.001208516,-0.1208516,23-02-2015 08:00
0.000827144,0.0827144,23-02-2015 08:20
-0.0030502,-0.30502,24-02-2015 08:00
0.000354874,0.0354874,24-02-2015 04:10
-9.89E-05,-0.00989,24-02-2015 04:55
2.91E-05,0.00291,24-02-2015 05:25
-0.000560611,-0.0560611,24-02-2015 05:25
-0.001127801,-0.1127801,24-02-2015 05:25
3.47E-05,0.00347,24-02-2015 07:45
-0.000687897,-0.0687897,24-02-2015 07:45
-0.000551419,-0.0551419,24-02-2015 07:20
-0.000973198,-0.0973198,24-02-2015 08:20
0.003515763,0.3515763,24-02-2015 08:20
-1.74E-05,-0.00174,24-02-2015 08:20
-0.003421946,-0.3421946,24-02-2015 08:55
-0.000226002,-0.0226002,24-02-2015 09:05
0.000585285,0.0585285,25-02-2015 03:45
0.002540512,0.2540512,25-02-2015 08:25
-0.000131938,-0.0131938,25-02-2015 08:25
0.001556128,0.1556128,25-02-2015 08:25
-0.000436042,-0.0436042,25-02-2015 08:25
0.001040798,0.1040798,25-02-2015 08:25
0.000714128,0.0714128,25-02-2015 08:25
0.001905241,0.1905241,25-02-2015 08:25
1.72E-05,0.00172,25-02-2015 08:25
-0.000518314,-0.0518314,25-02-2015 06:05
-0.000174632,-0.0174632,25-02-2015 07:40
-0.00046062,-0.046062,25-02-2015 07:40
-0.000832211,-0.0832211,25-02-2015 07:40
0.002595089,0.2595089,25-02-2015 08:30
-0.000498542,-0.0498542,26-02-2015 06:05
0.002717329,0.2717329,26-02-2015 06:05
-0.000572775,-0.0572775,26-02-2015 08:50
0.001659585,0.1659585,26-02-2015 09:05
-0.001121963,-0.1121963,26-02-2015 09:05
0.001104827,0.1104827,26-02-2015 09:05
-0.000194175,-0.0194175,27-02-2015 03:45
-0.002129251,-0.2129251,27-02-2015 05:55
-0.000376622,-0.0376622,27-02-2015 05:55
-0.000561899,-0.0561899,27-02-2015 05:55
0.00029353,0.029353,27-02-2015 05:55
0.002623356,0.2623356,27-02-2015 05:55
-0.000412766,-0.0412766,27-02-2015 05:55
-0.000115399,-0.0115399,27-02-2015 06:30
