,index,date,close,high,low,open,volume,date1,year,month,day,time,Size of Candle,is_forty_point
1957,123984,2022-02-09 09:50:00+05:30,17430.3,17437.75,17424.2,17435.4,0,2022-02-09,2022,2,9,09:50:00,-5.100000000002183,False
1958,123985,2022-02-09 09:55:00+05:30,17414.4,17429.6,17412.35,17428.8,0,2022-02-09,2022,2,9,09:55:00,-14.399999999997817,False
1959,123986,2022-02-09 10:00:00+05:30,17398.35,17419.6,17396.35,17413.7,0,2022-02-09,2022,2,9,10:00:00,-15.350000000002183,False
1960,123987,2022-02-09 10:05:00+05:30,17426.2,17426.2,17385.2,17398.5,0,2022-02-09,2022,2,9,10:05:00,27.700000000000728,False
1961,123988,2022-02-09 10:10:00+05:30,17417.3,17425.65,17405.45,17425.35,0,2022-02-09,2022,2,9,10:10:00,-8.049999999999272,False
1962,123989,2022-02-09 10:15:00+05:30,17411.15,17422.4,17407.15,17417.9,0,2022-02-09,2022,2,9,10:15:00,-6.75,False
1963,123990,2022-02-09 10:20:00+05:30,17410.8,17413.65,17400.1,17412.35,0,2022-02-09,2022,2,9,10:20:00,-1.5499999999992724,False
1964,123991,2022-02-09 10:25:00+05:30,17392.65,17410.6,17386.8,17410.6,0,2022-02-09,2022,2,9,10:25:00,-17.94999999999709,False
1965,123992,2022-02-09 10:30:00+05:30,17375.25,17395.05,17374.25,17391.85,0,2022-02-09,2022,2,9,10:30:00,-16.599999999998545,False
2035,124062,2022-02-10 10:05:00+05:30,17512.4,17513.55,17450.65,17452.65,0,2022-02-10,2022,2,10,10:05:00,59.75,True
2036,124063,2022-02-10 10:10:00+05:30,17510.95,17515.95,17498.5,17512.3,0,2022-02-10,2022,2,10,10:10:00,-1.3499999999985448,False
2037,124064,2022-02-10 10:15:00+05:30,17505.2,17530.4,17502.25,17510.85,0,2022-02-10,2022,2,10,10:15:00,-5.649999999997817,False
2038,124065,2022-02-10 10:20:00+05:30,17522.2,17524.85,17482.9,17505.65,0,2022-02-10,2022,2,10,10:20:00,16.549999999999272,False
2039,124066,2022-02-10 10:25:00+05:30,17543.85,17544.15,17522.2,17522.3,0,2022-02-10,2022,2,10,10:25:00,21.549999999999272,False
2040,124067,2022-02-10 10:30:00+05:30,17559.1,17567.75,17542.45,17544.1,0,2022-02-10,2022,2,10,10:30:00,15.0,False
2041,124068,2022-02-10 10:35:00+05:30,17571.55,17575.15,17552.9,17558.95,0,2022-02-10,2022,2,10,10:35:00,12.599999999998545,False
2042,124069,2022-02-10 10:40:00+05:30,17584.55,17588.45,17567.55,17571.5,0,2022-02-10,2022,2,10,10:40:00,13.049999999999272,False
2043,124070,2022-02-10 10:45:00+05:30,17571.55,17592.45,17560.2,17584.55,0,2022-02-10,2022,2,10,10:45:00,-13.0,False
2044,124071,2022-02-10 10:50:00+05:30,17573.1,17574.7,17566.05,17571.35,0,2022-02-10,2022,2,10,10:50:00,1.75,False
2176,124203,2022-02-14 09:20:00+05:30,17014.6,17022.75,16918.9,16946.65,0,2022-02-14,2022,2,14,09:20:00,67.94999999999709,True
2177,124204,2022-02-14 09:25:00+05:30,16990.75,17020.2,16990.1,17017.35,0,2022-02-14,2022,2,14,09:25:00,-26.599999999998545,False
2178,124205,2022-02-14 09:30:00+05:30,16957.25,16993.65,16949.15,16991.2,0,2022-02-14,2022,2,14,09:30:00,-33.95000000000073,False
2179,124206,2022-02-14 09:35:00+05:30,16960.35,16999.1,16957.9,16958.85,0,2022-02-14,2022,2,14,09:35:00,1.5,False
2180,124207,2022-02-14 09:40:00+05:30,16975.35,16987.0,16955.8,16958.4,0,2022-02-14,2022,2,14,09:40:00,16.94999999999709,False
2181,124208,2022-02-14 09:45:00+05:30,16997.5,17000.6,16948.85,16975.95,0,2022-02-14,2022,2,14,09:45:00,21.549999999999272,False
2182,124209,2022-02-14 09:50:00+05:30,17001.2,17014.6,16984.25,16998.5,0,2022-02-14,2022,2,14,09:50:00,2.7000000000007276,False
